x1	x2	x3	x4	x5	x6	x7	x8	x9	x:	x;	x<	x=	x>	u1	u2	u3	u4	u5	u6	u7	u8	error	numIter	cpuTime	cpuTimeSearchDirection	cpuTimeLineSearch	cpuTimeKKTError
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003515	0.242406	0.000334	0.046373	0.000576	0.000705	-0.000004	0.000709	0.000090	6.000000	1105.707001	1033.878000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.006928	0.482836	0.000696	0.090484	0.001163	0.001420	-0.000008	0.000709	0.000484	5.000000	875.477001	868.022001	0.000000	0.000000
0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000001	0.000396	-0.000003	0.000972	-0.000003	0.000887	0.000000	-0.010241	0.721635	0.001090	0.132270	0.001763	0.002148	-0.000012	0.000709	0.000481	5.000000	977.301000	967.417000	0.000000	0.000000
0.000000	0.000001	-0.000000	0.000002	-0.000000	0.000002	0.000000	0.000004	0.001179	-0.000009	0.002893	-0.000008	0.002640	0.000000	-0.013454	0.958639	0.001512	0.171847	0.002372	0.002888	-0.000017	0.000709	0.000477	5.000000	945.692999	935.435000	0.000000	0.000000
0.000000	0.000003	-0.000000	0.000007	-0.000000	0.000006	0.000000	0.000008	0.002342	-0.000019	0.005743	-0.000015	0.005238	0.000000	-0.016571	1.193854	0.001962	0.209269	0.002992	0.003639	-0.000021	0.000709	0.000474	5.000000	889.602000	881.087999	0.000000	0.000000
0.000000	0.000006	-0.000000	0.000014	-0.000000	0.000013	0.000000	0.000014	0.003878	-0.000031	0.009499	-0.000025	0.008660	0.000000	-0.019593	1.427287	0.002440	0.244591	0.003622	0.004402	-0.000025	0.000709	0.000470	5.000000	915.111999	907.174000	0.000000	0.000000
0.000000	0.000011	-0.000000	0.000026	-0.000000	0.000024	0.000000	0.000020	0.005778	-0.000046	0.014142	-0.000037	0.012886	0.000001	-0.022521	1.658943	0.002944	0.277863	0.004261	0.005176	-0.000029	0.000709	0.000467	5.000000	907.244001	899.787001	0.000000	0.000000
0.000000	0.000018	-0.000000	0.000043	-0.000000	0.000039	0.000000	0.000027	0.008036	-0.000064	0.019649	-0.000052	0.017898	0.000001	-0.025358	1.888826	0.003475	0.309139	0.004909	0.005960	-0.000034	0.000709	0.000464	5.000000	911.577999	903.798998	0.000000	0.000000
0.000000	0.000027	-0.000000	0.000066	-0.000000	0.000060	0.000000	0.000035	0.010645	-0.000084	0.026003	-0.000070	0.023675	0.000002	-0.028106	2.116942	0.004030	0.338467	0.005565	0.006756	-0.000038	0.000709	0.000461	5.000000	902.745000	894.662000	0.000000	0.000000
0.000000	0.000039	-0.000000	0.000095	-0.000000	0.000087	0.000000	0.000044	0.013596	-0.000107	0.033182	-0.000090	0.030200	0.000003	-0.030765	2.343293	0.004610	0.365898	0.006229	0.007562	-0.000042	0.000709	0.000457	5.000000	908.753000	901.144001	0.000000	0.000000
